Construction BOQ,جدول كميات البناء
Sum of accepted quantities from linked measurement entries.,مجموع الكميات المقبولة من قيود القياس المرتبطة.
Sum of measured amounts from linked measurement entries.,مجموع مبالغ القياس من قيود القياس المرتبطة.
Summary,الملخص
Supplier Quote,المورد Quote
Supplier is required,المورد is required
TCPI,TCPI
Tags,الوسوم
Target document is required to convert a reservation.,Target document is required to convert a reservation.
Task,Task
Tax ID,الرقم الضريبي
Tax Withholding ({0}%),Tax Withholding ({0}%)
Technical Status,Technical الحالة
To-Complete Performance Index,مؤشر الأداء المطلوب للإكمال
Total Accepted Qty,إجمالي الكمية المقبولة
Total Actual Cost,إجمالي التكلفة الفعلية
Total Advance Paid,إجمالي السلف المدفوعة
Total Advance Recovered,إجمالي السلف المستردة
Total Allocated,Total Allocated
Total Allocated Amount,Total Allocated المبلغ
Total Allocated Amount cannot exceed Source Amount.,Total Allocated المبلغ cannot exceed Source المبلغ.
Total Allocated Cost,Total التكلفة الموزعة
Total Amount,إجمالي المبلغ
Total Area,Total المساحة
Total Built Up Area,Total Built Up المساحة
Total Certified,Total Certified
Total Certified Amount,Total المبلغ المعتمد
Total Certified Qty,إجمالي الكمية المعتمدة
Total Contingency Cost,إجمالي الاحتياطي
Total Cost,Total Cost
Total Cost Impact,Total Cost Impact
Total Current Measured Qty,إجمالي الكمية المقاسة الحالية
Total Deducted ({0}) cannot exceed Loan Amount ({1}).,Total Deducted ({0}) cannot exceed Loan المبلغ ({1}).
Total Deducted cannot be negative.,Total Deducted cannot be negative.
Total Deductions,إجمالي الخصومات
Total Duration (Hours),Total Duration (Hours)
Total Entries,إجمالي القيود
Total Equipment Cost,إجمالي تكلفة المعدات
Total Estimated,Total Estimated
Total Expected Inflow,إجمالي التدفقات الداخلة المتوقعة
Total Expected Outflow,إجمالي التدفقات الخارجة المتوقعة
Total Expected Sales Value,Total Expected Sales Value
Total Inflow,إجمالي التدفقات الداخلة
Total Invoiced,Total Invoiced
Total Invoiced Amount,Total المبلغ المفوتر
Total Labor Cost,إجمالي تكلفة العمالة
Total Land Area,Total Land المساحة
Total Material Cost,إجمالي تكلفة المواد
Total Measured Amount,Total المبلغ المقاس
Total Outflow,إجمالي التدفقات الخارجة
Total Overhead Cost,إجمالي المصاريف العامة
Total Paid,Total Paid
Total Paid Amount,Total المبلغ المدفوع
Total Real Cost,Total Real Cost
Total Retention Held,Total المحتجزات القائمة
Total Retention Released,Total المحتجزات Released
Total Subcontract Cost,إجمالي تكلفة مقاول الباطن
Total Unit area is required for By Area allocation.,Total الوحدة area is required for By المساحة allocation.
Total active ownership percentage for this Unit cannot exceed 100%.,Total active ownership percentage for this الوحدة cannot exceed 100%.
Total deposit amount must be greater than zero,Total deposit amount must be greater than zero
Total retention held through IPC control records.,Total retention held through المستخلص control records.
Tracks contractor advances and recovery status without replacing ERPNext Payment Entry accounting.,Tracks contractor advances and recovery status without replacing ERPNext سند الدفع accounting.
"Tracks contractor performance, advance payment, and retention guarantees for project financial control.","Tracks contractor performance, advance payment, and retention guarantees for project financial control."
Tracks retention held from IPCs and future release eligibility without creating Journal Entries automatically.,قيمة يتم تحديثها تلقائياً من منطق النظام أو السجلات المرتبطة.
Transaction Type,نوع الحركة
Transaction Type is required.,Transaction Type is required.
Transferred,Transferred
Trigger DocType is required,Trigger DocType is required
Trigger Event is required,Trigger Event is required
Type,Type
Unallocated,Unallocated
Unallocated Amount,Unallocated المبلغ
Under Maintenance,Under Maintenance
Under Registration,Under Registration
Under Verification,Under التحقق والاعتماد
Unique reservation reference generated from reservation settings.,مرجع حجز فريد يتم توليده من إعدادات الحجز.
Unit Code,رمز الوحدة
Unit Code must be unique per Building and Floor.,رمز الوحدة must be unique per المبنى and الطابق.
Unit Name,اسم الوحدة
Unit Status,الوحدة الحالة
Unit Type Name,نوع الوحدة Name
Unit Types,أنواع الوحدات
Unit is required.,الوحدة is required.
Unit {0} already has active reservation {1}.,الوحدة {0} already has active reservation {1}.
Unit {0} cannot be reserved because its status is {1}.,الوحدة {0} cannot be reserved because its status is {1}.
Unit {0} is already marked as reserved.,الوحدة {0} is already marked as reserved.
"Unit-level allocation row showing basis, allocated cost, expected revenue, margin, and profitability status.","الوحدة-level allocation row showing basis, allocated cost, expected revenue, margin, and profitability status."
Units,الوحدةs
Unknown,Unknown
Unknown Insumo type: {0},Unknown Insumo type: {0}
Usage Date,Usage Date
Usage Purpose,غرض الاستخدام
VAC,VAC
Valid Until must be on or after Valid From.,صالح حتى must be on or after صالح من.
Validation Rules,قواعد التحقق
Variance,الفروقات
Variance Percent,نسبة الفرق
Variance Qty,الفروقات Qty
Variance Reason,الفروقات Reason
Variance Reason is required when measured quantity exceeds planned quantity.,الفروقات Reason is required when measured quantity exceeds planned quantity.
Variance at Completion,الفروقات at Completion
Variances,الفروقات
Variation Reference,مرجع التغيير
Verification,التحقق والاعتماد
Verified Measurement Book used to generate this IPC.,Verified دفتر القياسات used to generate this المستخلص.
Visible party name when Customer or Lead is not yet available.,Visible party name when العميل or المهتم is not yet available.
Volume,Volume
Voucher Count,Voucher Count
Voucher No,Voucher No
Voucher Type,Voucher Type
WBS Code {0} already exists for Project {1}.,WBS Code {0} already exists for المشروع {1}.
WBS Name,اسم عنصر هيكل العمل
Wastage Percent,نسبة الهدر
Watch Units,Watch الوحدةs
Weekly,Weekly
West,West
"When disabled, a unit with an active reservation cannot be reserved again.",عند تعطيله، لا يمكن حجز وحدة لديها حجز نشط مرة أخرى.
"When enabled by an administrator, missing required dimensions may block selected transactions.",عند تفعيلها من مسؤول النظام، قد تمنع الأبعاد المطلوبة غير المكتملة بعض المعاملات المحددة.
Width,العرض
Withholding Tax,Withholding Tax
Withholding Tax Amount,Withholding Tax المبلغ
Work Item,Work Item
Work Item Details,بيانات بند العمل
Work Item Overview,نظرة عامة على بند العمل
Work Item being measured in the field.,بند العمل الذي يتم قياسه ميدانيا.
Work Items Count,عدد بنود العمل
Work Items Generated,تم إنشاء بنود العمل
Workflow & Approval,سير الاعتماد والموافقة
Workflow & Status,الحالة وسير الاعتماد
{0} cannot be negative.,{0} cannot be negative.
{0}: Construction Work Item is recommended for project financial traceability.,{0}: بند عمل إنشائي is recommended for project financial traceability.
{0}: Cost Code is recommended for project financial traceability.,{0}: كود التكلفة is recommended for project financial traceability.
{0}: Unit is required when unit-specific cost tracking is enabled.,{0}: الوحدة is required when unit-specific cost tracking is enabled.
مستخلص مقاول عن قياسات معتمدة لأعمال المشروع,مستخلص مقاول عن قياسات معتمدة لأعمال المشروع

# --- Sales Contract Foundation ---
Sales Contract Settings,إعدادات عقد البيع
Sales Contract,عقد البيع
Sales Installment Schedule,جدول أقساط البيع
Estate Sales,المبيعات العقارية

# --- Sales Contract Fields ---
Contract Number,رقم العقد
Contract Date,تاريخ العقد
Valid Until,صالح حتى
Contract Status,حالة العقد
Contract Type,نوع العقد
Source Reservation,الحجز المصدر
Unit Details,بيانات الوحدة
Buyer Details,بيانات المشتري
Buyer Name,اسم المشتري
Party Type,نوع الطرف
Sale Price,سعر البيع
Discount Percent,نسبة الخصم
Discount Amount,مبلغ الخصم
Net Price,السعر الصافي
Payment Terms Type,نوع شروط الدفع
Down Payment Percent,نسبة الدفعة المقدمة
Down Payment Amount,مبلغ الدفعة المقدمة
Contract Terms,شروط العقد
Installment Plan,خطة الأقساط
Installment Schedule,جدول الأقساط
Installment Totals,إجماليات الأقساط
Total Installment Amount,إجمالي مبلغ الأقساط
Outstanding Installment Amount,مبلغ الأقساط المستحقة
Installment Count,عدد الأقساط
Future Accounting References,مراجع المحاسبة المستقبلية
Future References,المراجع المستقبلية
First Invoice,أول فاتورة
Invoices Created,تم إنشاء الفواتير
Converted Date,تاريخ التحويل
Converted By,قام بالتحويل
Cancellation Reason,سبب الإلغاء
Cancellation Date,تاريخ الإلغاء
Previous Unit Status,الحالة السابقة للوحدة
Previous Marketing Status,الحالة التسويقية السابقة للوحدة

# --- Installment Fields ---
Seq,التسلسل
Installment No,رقم القسط
Label,الوصف
Installment Type,نوع القسط
Due Date,تاريخ الاستحقاق
Percent,النسبة المئوية
Amount,المبلغ
Status,الحالة
Invoice,فاتورة
Payment,دفعة
Payment Reference,مرجع الدفع
Payment Method,طريقة الدفع
Notes,ملاحظات
Booking,حجز
Down Payment,دفعة مقدمة
Contract,عقد
Construction Milestone,مرحلة إنشائية
Handover,استلام
Post Handover,بعد الاستلام
Other,أخرى
Pending,قيد الانتظار
Due,مستحق
Partial,جزئي
Paid,مدفوع
Overdue,متأخر
Waived,مُعفًى
Cancelled,ملغى

# --- Sales Contract Settings Fields ---
General Settings,الإعدادات العامة
Default Contract Validity Days,أيام صلاحية العقد الافتراضية
Contract Number Prefix,بادئة رقم العقد
Default Down Payment Percent,النسبة الافتراضية للدفعة المقدمة
Validation Rules,قواعد التحقق
Allow Duplicate Contract For Same Unit,السماح بعقد مكرر لنفس الوحدة
Require Customer,يتطلب عميل
Require Installment Schedule,يتطلب جدول أقساط
Installment Amount Tolerance Percent,نسبة تحمل الفرق في الأقساط
Behavior,السلوك
Mark Unit Sold On Approval,وضع الوحدة كمباع عند الاعتماد
Enable Sales Invoice Generation,تفعيل إنشاء فاتورة البيع
Defaults,القيم الافتراضية
Default Currency From Company,العملة الافتراضية من الشركة

# --- Workflow States ---
Draft,مسودة
Under Review,قيد المراجعة
Approved,معتمد
Active,نشط
Closed,مغلق
Return to Draft,إرجاع إلى المسودة

# --- Reports ---
Sales Contract Register,سجل عقود البيع
Installment Schedule Report,تقرير جدول الأقساط
Unit Sales Pipeline,خط أنابيب مبيعات الوحدات
Sales Value Summary,ملخص قيمة المبيعات
Reserved to Sold Conversion,تحويل من الحجز للبيع
Reserved to Sold Conversion Report,تقرير التحويل من الحجز للبيع

# --- Report Columns ---
Contract,العقد
Contract Date,تاريخ العقد
Project,المشروع
Customer / Buyer,العميل / المشتري
Sale Price,سعر البيع
Net Price,السعر الصافي
Installment Total,إجمالي الأقساط
Outstanding,المستحقات
Workflow State,حالة سير الاعتماد
Installment No,رقم القسط
Label,الوصف
Due Date,تاريخ الاستحقاق
Percent,النسبة
Amount,المبلغ
Invoice,فاتورة
Overdue Days,أيام التأخير
Unit Status,حالة الوحدة
Reservation,الحجز
Sales Contract,عقد البيع
Expected Margin,الهامش المتوقع
Contract Status,حالة العقد
Conversion Days,أيام التحويل
Contracts,عدد العقود
Contracted Sales Value,قيمة المبيعات التعاقدية
Scheduled Installment,قسط مجدول
Pending Scheduled,الأقساط المجدولة المتبقية
Sold Units,الوحدات المباعة
Reserved Units,الوحدات المحجوزة

# --- Validation Messages ---
Unit {0} cannot be sold because its status is {1}.,الوحدة {0} لا يمكن بيعها لأن حالتها {1}.
Unit {0} already has an active sales contract {1}.,الوحدة {0} لديها عقد بيع نشط {1} بالفعل.
"Customer, Lead, or Buyer Name is required for a sales contract.",يُطلب وجود عميل أو عميل محتمل أو اسم مشتري لعقد البيع.
Valid Until must be on or after Contract Date.,يجب أن يكون صالح حتى تاريخ بعد أو يساوي تاريخ العقد.
Sale Price must be greater than zero.,يجب أن يكون سعر البيع أكبر من صفر.
Discount Amount cannot exceed Sale Price.,لا يمكن أن يتجاوز مبلغ الخصم سعر البيع.
Discount Percent cannot be 100 percent or more.,لا يمكن أن تكون نسبة الخصم 100% أو أكثر.
"Reservation {0} is for unit {1}, but the contract is for unit {2}.",الحجز {0} للوحدة {1} لكن العقد للوحدة {2}.
Reservation {0} must be in Reserved status.,الحجز {0} يجب أن تكون حالته محجوزة.
Only active reservations can be converted.,لا يمكن تحويل سوى الحجوزات النشطة فقط.
Total installment amount ({0}) does not match net contract price ({1}).,إجمالي مبلغ الأقساط ({0}) لا يتطابق مع سعر العقد الصافي ({1}).
Cancellation Reason is required before cancelling.,يُطلب سبب الإلغاء قبل الإلغاء.
Sales Invoice Collection Settings,إعدادات فواتير البيع والتحصيل
Invoice Generation,إنشاء الفواتير
Auto Submit Sales Invoice,اعتماد فاتورة البيع تلقائياً
Allow Grouped Installment Invoice,السماح بفاتورة مجمعة للأقساط
Default Sales Item,بند البيع الافتراضي
Require Unit Dimension,إلزام بعد الوحدة
Collection Tracking,تتبع التحصيل
Auto Update Installment Status,تحديث حالة القسط تلقائياً
Overdue Grace Days,أيام السماح قبل التعثر
Allow Partial Collection,السماح بالتحصيل الجزئي
Block Duplicate Invoice For Installment,منع تكرار الفاتورة للقسط
Require Customer On Contract,إلزام العميل في العقد
Require Unit On Invoice Item,إلزام الوحدة في بند الفاتورة
Use Company Default Currency,استخدام عملة الشركة الافتراضية
Invoice Status,حالة الفاتورة
Not Invoiced,غير مفوتر
Draft Invoice,فاتورة مسودة
Invoiced On,تاريخ الفوترة
Paid On,تاريخ السداد
Collection Summary,ملخص التحصيل
Total Collected Amount,إجمالي المبلغ المحصل
Total Outstanding Amount,إجمالي المبلغ المتبقي
Collection Status,حالة التحصيل
Latest Payment Entry,آخر سند قبض
Sales Invoice & Collections,فواتير البيع والتحصيل
Sales Invoice from Installments Report,تقرير فواتير البيع من الأقساط
Sales Collection Report,تقرير تحصيلات البيع
Overdue Sales Installments,أقساط البيع المتأخرة
Unit Revenue Report,تقرير إيراد الوحدة
Sales Contract Collection Summary,ملخص تحصيل عقود البيع
Total Collected,إجمالي المحصل
Create Sales Invoice,إنشاء فاتورة بيع
Refresh Collection Status,تحديث حالة التحصيل
Unit Revenue,إيراد الوحدة
Sales Installment Reference,مرجع قسط البيع
Unit Dimension,بعد الوحدة
Collected Amount,المبلغ المحصل
Overdue Amount,المبلغ المتأخر
Total Invoiced Sales,إجمالي مبيعات مفوترة
Total Collected Sales,إجمالي مبيعات محصلة
Outstanding Sales Amount,مبلغ المبيعات المتبقي
Overdue Installments Count,عدد الأقساط المتأخرة
Overdue Installments Amount,مبلغ الأقساط المتأخرة
Contract Information,بيانات العقد
Installments,الأقساط
Real estate unit sales installment {0} for contract {1},قسط بيع وحدة عقارية {0} للعقد {1}
Sales Invoice generation is disabled in Sales Invoice Collection Settings.,إنشاء فواتير البيع معطل في إعدادات فواتير البيع والتحصيل.
Sales Contract must be Approved or Active before creating Sales Invoice.,يجب أن يكون عقد البيع معتمداً أو نشطاً قبل إنشاء فاتورة بيع.
Customer is required on Sales Contract before creating Sales Invoice.,العميل مطلوب في عقد البيع قبل إنشاء فاتورة بيع.
Unit is required on Sales Contract before creating Sales Invoice.,الوحدة مطلوبة في عقد البيع قبل إنشاء فاتورة بيع.
Unit dimension field is missing on Sales Invoice Item.,حقل بعد الوحدة غير موجود في بند فاتورة البيع.
No invoiceable installment rows were found for Sales Contract {0}.,لم يتم العثور على أقساط قابلة للفوترة لعقد البيع {0}.
Grouped installment invoices are disabled in Sales Invoice Collection Settings.,الفواتير المجمعة للأقساط معطلة في إعدادات فواتير البيع والتحصيل.
Installment {0} is already linked to active Sales Invoice {1}.,القسط {0} مرتبط بالفعل بفاتورة بيع نشطة {1}.
Unit is required on Sales Invoice Item for Sales Contract invoices.,الوحدة مطلوبة في بند فاتورة البيع لفواتير عقود البيع.
Estate Rental,إدارة التأجير العقاري
Lease Contract Settings,إعدادات عقد الإيجار
Lease Contract,عقد إيجار
Rent Schedule,جدول الإيجار
Lease Contract Register,سجل عقود الإيجار
Rent Schedule Report,تقرير جدول الإيجار
Active Leases Report,تقرير عقود الإيجار النشطة
Lease Expiry Report,تقرير انتهاء عقود الإيجار
Rental Value Summary,ملخص قيمة الإيجارات
Lease & Rent Schedule,عقود الإيجار وجداول الإيجار
Lease & Rental,الإيجار والتأجير
Rental Operations,عمليات التأجير
Default Lease Period Months,مدة الإيجار الافتراضية بالأشهر
Contract Number Prefix,بادئة رقم العقد
Default Billing Frequency,دورية الفوترة الافتراضية
Default Security Deposit Months,أشهر التأمين الافتراضية
Allow Duplicate Active Lease For Unit,السماح بتكرار عقد إيجار نشط لنفس الوحدة
Require Customer,اشتراط العميل
Require Rent Schedule,اشتراط جدول الإيجار
Allow Backdated Lease,السماح بعقد إيجار بتاريخ سابق
Mark Unit Rented On Activation,تحديث الوحدة كمؤجرة عند التفعيل
Enable Rent Invoice Generation,تفعيل إنشاء فواتير الإيجار
Auto Generate Rent Schedule,إنشاء جدول الإيجار تلقائياً
Use Company Default Currency,استخدام عملة الشركة الافتراضية
Lease Start Date,تاريخ بداية الإيجار
Lease End Date,تاريخ نهاية الإيجار
Lease Status,حالة عقد الإيجار
Lease Type,نوع الإيجار
Tenant Details,بيانات المستأجر
Tenant Name,اسم المستأجر
Rental Terms,شروط الإيجار
Monthly Rent,الإيجار الشهري
Billing Frequency,دورية الفوترة
Security Deposit Amount,مبلغ التأمين
Total Contract Rent,إجمالي إيجار العقد
Payment Terms,شروط الدفع
Lease Terms,شروط عقد الإيجار
Actual Vacating Date,تاريخ الإخلاء الفعلي
Rent Totals,إجماليات الإيجار
Total Scheduled Rent,إجمالي الإيجار المجدول
Total Invoiced Rent,إجمالي الإيجار المفوتر
Total Collected Rent,إجمالي الإيجار المحصل
Total Outstanding Rent,إجمالي الإيجار المتبقي
Rent Collection Status,حالة تحصيل الإيجار
Future Accounting References,مراجع محاسبية مستقبلية
Future References,مراجع مستقبلية
First Rent Invoice,أول فاتورة إيجار
Latest Payment Entry,آخر سند قبض
Invoices Created,تم إنشاء الفواتير
Previous Unit State,حالة الوحدة السابقة
Previous Unit Status,حالة الوحدة السابقة
Previous Marketing Status,الحالة التسويقية السابقة
Termination Reason,سبب الإنهاء
Cancellation Reason,سبب الإلغاء
Cancellation Date,تاريخ الإلغاء
Period Start,بداية الفترة
Period End,نهاية الفترة
Rent Amount,مبلغ الإيجار
Rent Period {0},فترة الإيجار {0}
Long Term Rent,إيجار طويل الأجل
Short Term Rent,إيجار قصير الأجل
Commercial Rent,إيجار تجاري
Monthly,شهري
Quarterly,ربع سنوي
Semi Annual,نصف سنوي
Annual,سنوي
Terminated,منهي
Create Lease Contract,إنشاء عقد إيجار
Generate Rent Schedule,إنشاء جدول الإيجار
Active Lease Contracts,عقود الإيجار النشطة
Scheduled Rental Value,قيمة الإيجار المجدولة
Expiring Leases,عقود إيجار قاربت الانتهاء
Tenant / Customer,المستأجر / العميل
Lease Start,بداية الإيجار
Lease End,نهاية الإيجار
Days Remaining,الأيام المتبقية
Monthly Rent Value,قيمة الإيجار الشهري
Active Leases,عقود إيجار نشطة
Only Rent reservations can be converted to Lease Contract.,يمكن تحويل حجوزات الإيجار فقط إلى عقد إيجار.
Only active reservations can be converted to Lease Contract.,يمكن تحويل الحجوزات النشطة فقط إلى عقد إيجار.
Lease End Date must be on or after Lease Start Date.,يجب أن يكون تاريخ نهاية الإيجار في أو بعد تاريخ بداية الإيجار.
Customer is required for a Lease Contract.,العميل مطلوب في عقد الإيجار.
Monthly Rent must be greater than zero.,يجب أن يكون الإيجار الشهري أكبر من صفر.
Rent Schedule is required for this Lease Contract.,جدول الإيجار مطلوب لهذا العقد.
Rent Amount cannot be negative.,لا يمكن أن يكون مبلغ الإيجار سالباً.
Reservation must be Reserved before conversion to Lease Contract.,يجب أن يكون الحجز محجوزاً قبل تحويله إلى عقد إيجار.
Phase 2 - Lease & Rent (Upcoming),المرحلة الثانية - الإيجار والتأجير (قادمة)
Phase 2 - Rental Operations (Upcoming),المرحلة الثانية - عمليات الإيجار (قادمة)
Phase 2 - Lease & Rental (Upcoming),المرحلة الثانية - الإيجار والتأجير (قادمة)
Project Purchase Control Summary,ملخص رقابة مشتريات المشروع
BOQ Line Scope,نطاق بند جدول الكميات
Quantity & Rate,الكمية والسعر
Execution Tracking,تتبع التنفيذ
Execution Summary,ملخص التنفيذ
Category Summary,ملخص التصنيفات
Construction Work Item,بند عمل إنشائي
Requested Qty,الكمية المطلوبة
Ordered Qty,الكمية المطلوبة بأمر شراء
Received Qty,الكمية المستلمة
Invoiced Qty,الكمية المفوترة
Consumed Qty,الكمية المصروفة
Measured Qty,الكمية المقاسة
Certified Qty,الكمية المعتمدة
Remaining Qty,الكمية المتبقية
Planned Qty,الكمية المخططة
Expected Qty,الكمية المتوقعة
Wastage %,نسبة الهالك %
Wastage Percent,نسبة الهالك
Planned Amount,المبلغ المخطط
Actual Amount,المبلغ الفعلي
Remaining Amount,المبلغ المتبقي
Variance Amount,مبلغ الانحراف
Variance %,نسبة الانحراف %
Variance Percent,نسبة الانحراف
Execution Status,حالة التنفيذ
Risk Status,حالة المخاطر
Overrun,تجاوز
Underrun,أقل من المخطط
Not Started,لم يبدأ
Requested,تم الطلب
Ordered,تم إصدار أمر شراء
Received,تم الاستلام
Invoiced,تمت الفوترة
Partially Consumed,مصروف جزئياً
Fully Consumed,مصروف بالكامل
Partially Measured,مقاس جزئياً
Certified,معتمد
Normal,طبيعي
Watch,تحت المراقبة
Refresh Execution Summary,تحديث ملخص التنفيذ
Refreshing execution summary...,جاري تحديث ملخص التنفيذ...
Legacy / Additional Breakdown,تفصيل إضافي / سابق
Total Requested Amount,إجمالي المبلغ المطلوب
Total Ordered Amount,إجمالي المبلغ بأوامر الشراء
Total Invoiced Amount,إجمالي المبلغ المفوتر
Total Consumed Amount,إجمالي المبلغ المصروف
Total Measured Amount,إجمالي المبلغ المقاس
Total Certified Amount,إجمالي المبلغ المعتمد
Operational work item generated from or linked to this BOQ line.,بند العمل التشغيلي المنشأ من بند جدول الكميات أو المرتبط به.
Quantity requested through Material Requests for this BOQ line.,الكمية المطلوبة عبر طلبات المواد لهذا البند.
Quantity ordered through Purchase Orders for this BOQ line.,الكمية المطلوبة عبر أوامر الشراء لهذا البند.
Quantity received through Purchase Receipts for this BOQ line.,الكمية المستلمة عبر سندات الاستلام لهذا البند.
Quantity invoiced through Purchase Invoices for this BOQ line.,الكمية المفوترة عبر فواتير الشراء لهذا البند.
Quantity consumed through Stock Entries for this BOQ line.,الكمية المصروفة عبر قيود المخزون لهذا البند.
Quantity measured and verified through Measurement Book entries.,الكمية المقاسة والمعتمدة ميدانياً عبر قيود دفتر القياسات.
Quantity financially certified through approved IPCs.,الكمية المعتمدة مالياً عبر المستخلصات المعتمدة.
Expected quantity still remaining after actual execution quantities.,الكمية المتوقعة المتبقية بعد كميات التنفيذ الفعلية.
Actual cost amount from committed, invoiced, consumed, measured, or certified downstream activity.,المبلغ الفعلي من الالتزامات أو الفواتير أو الصرف أو القياس أو الاعتماد المرتبط بالبند.
Expected BOQ amount still remaining after actual downstream cost.,مبلغ جدول الكميات المتوقع المتبقي بعد تكلفة التنفيذ الفعلية.
Difference between actual downstream cost and expected BOQ amount.,الفرق بين تكلفة التنفيذ الفعلية ومبلغ جدول الكميات المتوقع.
Variance percentage between actual downstream cost and expected BOQ amount.,نسبة الفرق بين تكلفة التنفيذ الفعلية ومبلغ جدول الكميات المتوقع.
Presentation status derived from procurement, consumption, measurement, certification, and variance.,حالة عرض مستنتجة من المشتريات والصرف والقياس والاعتماد والانحراف.
